City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
210,Altus,US,34.64,-99.33,95.0,26,1,12.75,haze
211,Hindupur,IN,13.83,77.49,73.13,84,100,5.08,overcast clouds
212,Te Anau,NZ,-45.42,167.72,50.4,66,82,1.12,broken clouds
213,Pedasi,PA,7.53,-80.03,80.01,86,69,13.42,light rain
214,Honolulu,US,21.31,-157.86,91.4,41,20,14.99,few clouds
215,Ulladulla,AU,-35.35,150.47,52.0,50,0,13.87,clear sky
216,Tilichiki,RU,60.47,166.1,53.71,61,64,11.1,broken clouds
217,Port Alfred,ZA,-33.59,26.89,57.49,81,68,10.58,broken clouds
218,Marawi,PH,8.0,124.29,79.0,85,57,5.01,broken clouds
219,Paamiut,GL,61.99,-49.67,42.55,91,16,6.24,few clouds
220,Nanzhang,CN,31.78,111.84,81.64,79,52,2.68,broken clouds
221,Kurumkan,RU,54.3,110.3,57.63,85,97,2.28,light rain
222,Iqaluit,CA,63.75,-68.51,44.6,81,40,5.82,scattered clouds
223,Alausi,EC,-2.2,-78.83,47.46,87,51,2.86,broken clouds
224,Arraial Do Cabo,BR,-22.97,-42.03,67.46,63,3,11.12,clear sky
225,Tahta,EG,26.77,31.5,80.6,32,0,3.36,clear sky
226,Metro,ID,-5.11,105.31,76.08,84,89,3.13,overcast clouds
227,Olafsvik,IS,64.89,-23.71,50.09,74,6,5.35,clear sky
228,Marataizes,BR,-21.04,-40.82,65.39,74,38,10.83,scattered clouds
229,Hilo,US,19.73,-155.09,82.4,74,75,8.05,light rain
230,Mangan,IN,27.52,88.53,73.02,52,15,2.64,few clouds
231,Igarka,RU,67.47,86.58,53.35,91,100,13.82,overcast clouds
232,Provideniya,RU,64.38,-173.3,51.8,87,75,4.47,broken clouds
233,Cidreira,BR,-30.18,-50.21,60.87,83,0,17.47,clear sky
234,Taoudenni,ML,22.68,-3.98,100.58,9,0,11.54,clear sky
235,Champerico,GT,14.3,-91.92,78.8,94,90,6.93,moderate rain
236,Evensk,RU,61.95,159.23,51.33,48,97,6.26,overcast clouds
237,Mandera,KE,3.94,41.87,77.07,59,89,21.56,overcast clouds
238,Imeni Poliny Osipenko,RU,52.42,136.49,59.76,67,100,3.2,overcast clouds
239,Ardahan,TR,41.11,42.7,41.95,85,4,1.61,clear sky
240,Khatanga,RU,71.97,102.5,59.31,62,98,10.11,overcast clouds
241,San Jeronimo,PE,-11.95,-75.28,52.38,56,23,5.37,few clouds
242,Lata,PT,40.16,-8.33,66.0,81,0,1.92,clear sky
243,Berlevag,NO,70.86,29.09,54.27,90,99,9.33,light rain
244,Hays,US,30.05,-98.03,91.99,44,66,5.01,broken clouds
245,Stornoway,GB,58.21,-6.39,46.0,87,45,1.12,scattered clouds
246,Mackay,AU,-21.15,149.2,69.01,59,2,6.93,clear sky
247,Dunedin,NZ,-45.87,170.5,50.0,93,100,1.01,overcast clouds
248,Nouadhibou,MR,20.93,-17.03,75.2,78,14,10.29,few clouds
249,Nador,MA,35.17,-2.93,78.8,83,40,3.74,scattered clouds
250,Jacareacanga,BR,-6.22,-57.75,81.52,34,0,2.42,clear sky
251,Amahai,ID,-3.33,128.92,79.81,75,73,4.41,broken clouds
252,Mahabad,IR,36.76,45.72,56.34,77,0,3.31,clear sky
253,Matagami,CA,49.75,-77.63,68.0,37,1,4.94,clear sky
254,Grindavik,IS,63.84,-22.43,48.2,87,30,5.82,scattered clouds
255,Tamandare,BR,-8.76,-35.1,73.45,77,100,4.52,overcast clouds
256,Nanlong,CN,31.35,106.06,72.64,84,100,2.15,overcast clouds
257,Viedma,AR,-40.81,-63.0,57.99,43,65,3.0,broken clouds
258,Deputatskiy,RU,69.3,139.9,34.21,88,99,5.91,overcast clouds
259,Araouane,ML,18.9,-3.53,95.59,31,2,13.91,clear sky
260,Minot,US,48.23,-101.3,77.0,53,40,5.82,scattered clouds
261,Natal,BR,-5.79,-35.21,77.0,73,71,11.41,broken clouds
262,Hualmay,PE,-11.1,-77.61,60.46,82,9,9.17,clear sky
263,Madhupur,IN,24.25,86.65,79.92,84,74,4.12,broken clouds
264,Haapiti,PF,-17.57,-149.87,82.4,61,20,5.82,few clouds
265,The Valley,AI,18.22,-63.06,84.2,79,75,11.41,broken clouds
266,Campoverde,PE,-8.48,-74.81,77.0,65,75,2.24,broken clouds
267,Hambantota,LK,6.12,81.12,78.66,85,52,10.78,broken clouds
268,Phalaborwa,ZA,-23.94,31.14,64.4,42,0,2.24,clear sky
269,Tarakan,ID,3.3,117.63,78.75,87,7,7.45,light rain
270,Bhindar,IN,24.5,74.18,74.26,96,97,13.11,light rain
271,Panacan,PH,9.25,118.41,83.55,70,98,3.29,overcast clouds
272,Trelew,AR,-43.25,-65.31,55.8,38,65,0.36,broken clouds
273,Laviana,ES,43.23,-5.53,66.2,77,75,1.86,broken clouds
274,Aykhal,RU,66.0,111.5,46.4,65,10,2.24,clear sky
275,Sakakah,SA,29.97,40.21,86.0,22,0,6.93,clear sky
276,Cherskiy,RU,68.75,161.3,38.86,93,100,10.33,light rain
277,Tweed,CA,44.48,-77.32,81.0,76,69,1.01,light rain
278,Katobu,ID,-4.94,122.53,79.7,67,26,7.25,scattered clouds
279,Yulara,AU,-25.24,130.99,59.0,30,0,6.93,clear sky
280,Broome,US,42.25,-75.83,75.99,69,1,3.36,clear sky
281,Andenes,NO,69.31,16.12,51.8,81,100,8.05,light rain
282,Taltal,CL,-25.4,-70.48,51.57,77,28,0.96,scattered clouds
283,Desaguadero,PE,-16.57,-69.04,46.98,69,9,4.85,clear sky
284,Tessalit,ML,20.2,1.01,88.43,42,92,18.75,overcast clouds
285,Marsh Harbour,BS,26.54,-77.06,84.97,78,5,22.35,light rain
286,Katsuura,JP,35.13,140.3,82.0,76,99,5.99,overcast clouds
287,Johnson City,US,36.31,-82.35,82.4,88,90,13.87,heavy intensity rain
288,Luba,GQ,3.46,8.55,75.87,83,100,4.83,light rain
289,Sioux Lookout,CA,50.1,-91.92,77.0,73,75,3.36,broken clouds
290,Oranjemund,NA,-28.55,16.43,52.54,93,16,5.14,few clouds
291,Simbahan,PH,6.3,120.58,83.39,76,23,10.0,few clouds
292,Rocha,UY,-34.48,-54.33,48.9,93,0,7.7,clear sky
293,Juegang,CN,32.32,121.19,81.79,79,0,5.86,clear sky
294,Teguise,ES,29.06,-13.56,75.2,78,20,25.28,few clouds
295,Clyde River,CA,70.47,-68.59,42.08,87,100,4.27,light rain
296,Olga,RU,43.74,135.29,71.37,80,93,2.62,overcast clouds
297,Souillac,MU,-20.52,57.52,71.6,78,40,16.11,scattered clouds
298,San Cristobal,VE,7.77,-72.22,86.0,45,40,18.34,scattered clouds
299,Axim,GH,4.87,-2.24,74.25,87,28,7.29,scattered clouds
300,Sao Filipe,CV,14.9,-24.5,79.11,84,77,7.85,broken clouds
301,Udachnyy,RU,66.42,112.4,46.4,65,0,2.24,clear sky
302,Strezhevoy,RU,60.73,77.59,53.6,93,75,4.47,light intensity shower rain
303,Paragominas,BR,-2.97,-47.48,72.1,97,98,1.3,light rain
304,Cosmopolis,BR,-22.65,-47.2,59.0,67,0,19.46,clear sky
305,Zelenoborskiy,RU,66.84,32.36,55.11,93,48,9.53,scattered clouds
306,Luderitz,NA,-26.65,15.16,56.79,73,0,9.31,clear sky
307,Vila Velha,BR,-20.33,-40.29,68.0,72,40,11.41,scattered clouds
308,Iberia,US,29.95,-91.75,86.0,74,90,9.17,light rain
309,Bereda,ES,43.27,-7.54,57.99,99,8,1.01,clear sky
310,Inirida,CO,3.87,-67.92,73.24,96,100,2.17,overcast clouds
311,Luwuk,ID,-0.95,122.79,81.48,61,20,3.69,few clouds
312,Izhma,RU,65.01,53.91,53.94,87,50,6.55,scattered clouds
313,Sarhari,PK,26.1,68.48,87.8,74,100,4.7,haze
314,Boende,CD,-0.22,20.87,70.48,95,100,0.45,overcast clouds
315,Zhuhai,CN,22.28,113.57,86.0,83,20,3.36,few clouds
316,Kahului,US,20.89,-156.47,93.2,41,40,23.04,scattered clouds
317,Longyearbyen,SJ,78.22,15.64,39.2,69,5,8.05,clear sky
318,Gigmoto,PH,13.78,124.39,83.77,79,99,7.94,light rain
319,Krasnoselkup,RU,65.7,82.47,52.27,87,76,3.83,broken clouds
320,Piacabucu,BR,-10.41,-36.43,72.7,81,9,6.13,clear sky
321,Lasa,IT,46.62,10.7,55.4,87,5,6.93,clear sky
322,Labuan,MY,5.28,115.24,75.2,100,20,6.51,few clouds
323,Kawalu,ID,-7.38,108.21,72.05,90,89,1.5,light rain
324,Richards Bay,ZA,-28.78,32.04,62.62,81,0,6.2,clear sky
325,Presidente Epitacio,BR,-21.76,-52.12,65.26,63,0,10.87,clear sky
326,Nishihara,JP,26.18,127.76,80.6,88,75,35.57,heavy intensity shower rain
327,Acarau,BR,-2.89,-40.12,77.68,76,54,17.96,broken clouds
328,Kaeo,NZ,-35.1,173.78,63.0,3,78,8.99,light rain
329,Uribia,CO,11.71,-72.27,84.7,68,43,5.91,light rain
330,Great Bend,US,38.36,-98.76,93.2,34,1,13.87,clear sky
331,Chifeng,CN,42.27,118.96,65.79,81,100,7.67,overcast clouds
332,Shache,CN,38.42,77.24,64.87,28,0,2.51,clear sky
333,Gondar,ET,12.6,37.47,58.1,94,100,5.21,light rain
334,High Level,CA,58.52,-117.14,59.0,87,90,5.82,overcast clouds
335,Caracuaro,MX,19.01,-101.13,82.13,83,31,1.99,light rain
