City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Port Hawkesbury,CA,2020-08-23 19:26:20,45.62,-61.35,77.0,36,1,5.82
119,Orichi,RU,2020-08-23 19:28:45,58.4,49.06,58.24,93,93,4.41
120,Deputatskiy,RU,2020-08-23 19:28:45,69.3,139.9,30.42,99,100,3.0
121,Ponta Do Sol,PT,2020-08-23 19:28:45,32.67,-17.1,75.0,72,0,3.22
122,Ambulu,ID,2020-08-23 19:28:45,-8.35,113.61,71.69,86,90,3.76
123,Port Alfred,ZA,2020-08-23 19:28:45,-33.59,26.89,58.24,82,0,9.06
124,Kaeo,NZ,2020-08-23 19:28:45,-35.1,173.78,54.0,3,92,13.0
125,Mahebourg,MU,2020-08-23 19:25:23,-20.41,57.7,71.6,73,40,17.22
126,Bambous Virieux,MU,2020-08-23 19:28:45,-20.34,57.76,71.6,73,40,17.22
127,Pevek,RU,2020-08-23 19:28:46,69.7,170.31,37.69,96,100,4.74
128,Sens,FR,2020-08-23 19:28:46,48.17,3.33,71.01,51,9,5.86
129,Sisimiut,GL,2020-08-23 19:28:46,66.94,-53.67,47.66,75,4,5.57
130,Bowen,AU,2020-08-23 19:28:46,-20.02,148.23,54.0,87,55,4.7
131,Zvishavane,ZW,2020-08-23 19:28:46,-20.33,30.07,61.93,47,90,4.36
132,Anloga,GH,2020-08-23 19:28:46,5.79,0.9,77.0,83,20,11.41
133,Saint Anthony,US,2020-08-23 19:24:22,45.02,-93.22,90.0,58,40,6.93
134,Batagay-Alyta,RU,2020-08-23 19:28:46,67.8,130.41,33.75,92,100,6.4
135,Ostrovnoy,RU,2020-08-23 19:28:46,68.05,39.51,58.82,88,79,17.34
136,Kavieng,PG,2020-08-23 19:28:46,-2.57,150.8,77.95,87,100,9.22
137,Rovnoye,RU,2020-08-23 19:28:46,50.78,46.05,63.0,62,0,7.25
138,Kundiawa,PG,2020-08-23 19:28:46,-6.02,144.97,60.4,80,100,0.87
139,Kuznechnoye,RU,2020-08-23 19:28:46,61.12,29.87,63.0,77,94,10.54
140,Micheweni,TZ,2020-08-23 19:28:46,-4.97,39.83,76.39,76,0,13.24
141,Itubera,BR,2020-08-23 19:28:46,-13.73,-39.15,74.91,82,100,9.08
142,Moerai,PF,2020-08-23 19:28:46,-22.43,-151.33,69.89,69,13,11.21
143,Ketchikan,US,2020-08-23 19:28:47,55.34,-131.65,57.2,100,90,9.17
144,Qaqortoq,GL,2020-08-23 19:28:47,60.72,-46.03,57.2,58,0,9.17
145,Margate,GB,2020-08-23 19:28:47,51.38,1.39,66.99,74,100,1.99
146,Srednekolymsk,RU,2020-08-23 19:28:47,67.45,153.68,34.93,87,100,7.72
147,San Luis,AR,2020-08-23 19:28:47,-33.3,-66.34,69.84,22,0,17.29
148,East London,ZA,2020-08-23 19:28:47,-33.02,27.91,63.55,70,75,5.5
149,Hlohovec,SK,2020-08-23 19:28:47,48.43,17.8,68.0,72,80,4.7
150,Lorengau,PG,2020-08-23 19:28:47,-2.02,147.27,76.17,89,100,6.13
151,Arraial Do Cabo,BR,2020-08-23 19:28:47,-22.97,-42.03,71.6,64,75,11.41
152,Prince Rupert,CA,2020-08-23 19:28:47,54.32,-130.32,57.2,93,90,6.93
153,De Aar,ZA,2020-08-23 19:28:47,-30.65,24.01,56.01,36,0,6.53
