City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
390,390,Alexandria,EG,31.22,29.96,78.8,78,0,3.36,clear sky
391,391,Carroll,US,39.55,-77.02,77.0,76,10,1.01,clear sky
395,395,Manjeri,IN,11.12,76.12,78.8,88,75,3.36,mist
396,396,Batticaloa,LK,7.71,81.69,78.84,78,14,3.22,few clouds
398,398,Ormara,PK,25.21,64.64,82.85,85,99,11.9,overcast clouds
399,399,Denpasar,ID,-8.65,115.22,77.0,100,20,8.05,few clouds
402,402,Noboribetsu,JP,42.45,141.17,78.01,78,40,8.05,scattered clouds
406,406,Kijang,KR,35.24,129.21,80.6,78,20,2.24,few clouds
407,407,Georgetown,MY,5.41,100.34,78.8,94,20,2.24,few clouds
413,413,Kamaishi,JP,39.27,141.88,78.8,78,75,4.7,broken clouds
415,415,Gainesville,US,29.65,-82.32,82.4,88,75,4.7,light rain
429,429,Sola,VU,-13.88,167.55,81.48,81,84,10.29,broken clouds
432,432,General Macarthur,PH,11.25,125.54,85.57,67,13,3.65,few clouds
437,437,Ibra,OM,22.69,58.53,81.34,65,67,2.17,broken clouds
438,438,Asmar,AF,35.03,71.36,78.75,66,76,2.62,moderate rain
439,439,Cururupu,BR,-1.83,-44.87,75.2,92,45,4.03,scattered clouds
441,441,Nakhon Si Thammarat,TH,8.43,99.97,78.8,94,20,3.22,few clouds
443,443,Oussouye,SN,12.48,-16.55,80.6,88,20,4.7,few clouds
448,448,Samarkand,UZ,39.65,66.96,78.8,31,20,6.93,few clouds
450,450,Kavaratti,IN,10.57,72.64,81.82,80,94,15.28,overcast clouds
456,456,Monroe,US,43.15,-77.68,82.0,63,18,3.0,light rain
457,457,Hasaki,JP,35.73,140.83,81.0,88,75,8.05,broken clouds
459,459,Talavera,PH,15.62,120.93,80.28,84,91,1.39,overcast clouds
461,461,Marsa Matruh,EG,31.35,27.25,77.0,73,0,4.7,clear sky
463,463,Fredericton,CA,45.95,-66.67,75.2,50,90,10.29,overcast clouds
464,464,Kaseda,JP,31.42,130.32,78.8,83,75,2.24,mist
465,465,Ashdod,IL,31.82,34.65,78.8,74,0,6.93,clear sky
469,469,Pleasanton,US,37.66,-121.87,89.6,33,90,11.41,haze
472,472,Misratah,LY,32.38,15.09,81.12,76,40,12.17,scattered clouds
482,482,Abnub,EG,27.27,31.15,80.6,44,0,9.17,clear sky
485,485,Maine-Soroa,NE,13.21,12.02,79.25,67,100,10.65,overcast clouds
492,492,Morgan City,US,29.7,-91.21,87.8,62,1,10.29,clear sky
494,494,Sur,OM,22.57,59.53,78.31,81,38,10.38,scattered clouds
495,495,Olinda,BR,-8.01,-34.86,77.0,73,20,8.05,few clouds
498,498,Bandarbeyla,SO,9.49,50.81,75.25,74,91,28.79,overcast clouds
505,505,Hami,CN,42.8,93.45,77.97,25,82,3.36,light rain
506,506,Anaconda,US,46.13,-112.94,87.8,12,1,6.93,clear sky
509,509,Bud,US,39.45,-86.18,82.0,57,40,3.38,scattered clouds
511,511,Yatou,CN,37.15,122.38,78.67,87,59,16.26,broken clouds
512,512,Racine,US,42.75,-88.08,82.0,69,1,5.82,clear sky
513,513,Paracuru,BR,-3.41,-39.03,79.0,74,95,20.0,overcast clouds
515,515,Meulaboh,ID,4.14,96.13,76.69,85,83,5.7,broken clouds
518,518,Dalbandin,PK,28.89,64.41,86.36,49,1,7.67,clear sky
519,519,Bugko,PH,12.54,124.79,82.51,79,22,5.55,few clouds
520,520,Kulhudhuffushi,MV,6.62,73.07,83.44,69,55,7.34,light rain
523,523,Sarangani,PH,5.4,125.46,83.1,75,34,7.58,light rain
524,524,Puerto Escondido,MX,15.85,-97.07,80.6,69,90,5.93,overcast clouds
526,526,Hamilton,US,39.18,-84.53,84.0,61,1,4.7,thunderstorm
527,527,Gabuyan,PH,7.61,125.67,80.6,74,20,3.36,few clouds
532,532,Price,US,39.6,-110.81,89.6,17,1,5.82,clear sky
536,536,Moosomin,CA,50.13,-101.67,75.79,34,14,4.16,few clouds
539,539,Trairi,BR,-3.28,-39.27,77.05,77,90,14.29,overcast clouds
542,542,Fairview,US,40.81,-74.0,82.99,74,40,3.36,scattered clouds
543,543,Fort Frances,CA,48.6,-93.4,82.0,65,1,3.96,clear sky
544,544,Chau Doc,VN,10.7,105.12,81.34,80,14,4.83,few clouds
545,545,Mozarlandia,BR,-14.74,-50.57,81.79,30,25,6.82,scattered clouds
547,547,Ati,TD,13.22,18.34,78.44,73,81,3.6,light rain
553,553,Carutapera,BR,-1.2,-46.02,76.24,91,41,6.85,scattered clouds
558,558,Laguna De Perlas,NI,12.34,-83.67,86.0,74,20,4.7,few clouds
559,559,Kasangulu,CD,-4.59,15.17,75.2,78,75,4.7,broken clouds
560,560,Morant Bay,JM,17.88,-76.41,82.4,94,75,17.22,thunderstorm with heavy rain
561,561,Hadejia,NG,12.45,10.04,75.42,80,94,11.54,light rain
